"Code","Date","Observed","Suggested","Anomaly (std.devs.)","Deleted"
"ho00000830","1972-07-01",21.7,18.2,4.48,1
"ho00000830","1995-10-01",19.4,22,-2.63,0
"ho00000830","2002-09-01",17.8,20.5,-2.66,0
"ho00000830","2017-10-01",19.2,21.8,-2.61,0
"ho00000830","2019-09-01",17.5,20.3,-2.81,0
"ho00000833","1972-06-01",24.8,27.7,-2.62,0
"ho00000833","1997-06-01",25.1,28.2,-2.9,1
"ho00000846","1990-09-01",19,20.9,-2.59,0
"ho00000846","2011-09-01",18.5,20.6,-2.62,0
"ho00157102","1985-09-01",20.1,22.1,-2.56,0
"ho00157102","2003-04-01",24.3,26.8,-2.93,1
"ho00157102","2003-05-01",22.1,24.4,-2.85,1
